Onset,Annotation
+0.1830000,QRS
+0.6510000,QRS
+1.1180000,QRS
+1.5830000,QRS
+2.0490000,QRS
+2.5140000,QRS
+2.9820000,QRS
+3.4510000,QRS
+3.9200000,QRS
+4.3890000,QRS
+4.8570000,QRS
+5.3270000,QRS
+5.7960000,QRS
+6.2630000,QRS
+6.7320000,QRS
+7.2000000,QRS
+7.6670000,QRS
+8.1370000,QRS
+8.6030000,QRS
+9.0680000,QRS
+9.5330000,QRS
+9.9990000,QRS
+10.4620000,QRS
+10.9260000,QRS
+11.3890000,QRS
+11.8480000,QRS
+12.3090000,QRS
+12.7670000,QRS
+13.2240000,QRS
+13.6800000,QRS
+14.1370000,QRS
+14.5940000,QRS
+15.0470000,QRS
+15.5020000,QRS
+15.9540000,QRS
+16.4100000,QRS
+16.8630000,QRS
+17.3170000,QRS
+17.7730000,QRS
+18.2310000,QRS
+18.6880000,QRS
+19.1430000,QRS
+19.6000000,QRS
+20.0580000,QRS
+20.5170000,QRS
+20.9750000,QRS
+21.4370000,QRS
+21.9030000,QRS
+22.3720000,QRS
+22.8400000,QRS
+23.3080000,QRS
+23.7750000,QRS
+24.2440000,QRS
+24.7110000,QRS
+25.1730000,QRS
+25.6350000,QRS
+26.0960000,QRS
+26.5580000,QRS
+27.0210000,QRS
+27.4860000,QRS
+27.9550000,QRS
+28.4250000,QRS
+28.8960000,QRS
+29.3650000,QRS
+29.8350000,QRS
+30.3060000,QRS
+30.7750000,QRS
+31.2430000,QRS
+31.7090000,QRS
+32.1750000,QRS
+32.6390000,QRS
+33.1020000,QRS
+33.5650000,QRS
+34.0260000,QRS
+34.4880000,QRS
+34.9530000,QRS
+35.4160000,QRS
+35.8800000,QRS
+36.3440000,QRS
+36.8090000,QRS
+37.2750000,QRS
+37.7430000,QRS
+38.2100000,QRS
+38.6780000,QRS
+39.1460000,QRS
+39.6170000,QRS
+40.0850000,QRS
+40.5570000,QRS
+41.0240000,QRS
+41.4930000,QRS
+41.9610000,QRS
+42.4300000,QRS
+42.8990000,QRS
+43.3700000,QRS
+43.8430000,QRS
+44.3170000,QRS
+44.7900000,QRS
+45.2630000,QRS
+45.7360000,QRS
+46.2090000,QRS
+46.6810000,QRS
+47.1520000,QRS
+47.6220000,QRS
+48.0940000,QRS
+48.5650000,QRS
+49.0360000,QRS
+49.5060000,QRS
+49.9740000,QRS
+50.4430000,QRS
+50.9100000,QRS
+51.3770000,QRS
+51.8470000,QRS
+52.3120000,QRS
+52.7790000,QRS
+53.2460000,QRS
+53.7130000,QRS
+54.1790000,QRS
+54.6460000,QRS
+55.1070000,QRS
+55.5680000,QRS
+56.0280000,QRS
+56.4910000,QRS
+56.9490000,QRS
+57.4090000,QRS
+57.8730000,QRS
+58.3340000,QRS
+58.8000000,QRS
+59.2660000,QRS
+59.7330000,QRS
+60.2010000,QRS
+60.6690000,QRS
+61.1360000,QRS
+61.6060000,QRS
+62.0750000,QRS
+62.5390000,QRS
+63.0060000,QRS
+63.4690000,QRS
+63.9310000,QRS
+64.3960000,QRS
+64.8640000,QRS
+65.3290000,QRS
+65.7960000,QRS
+66.2590000,QRS
+66.7280000,QRS
+67.1950000,QRS
+67.6660000,QRS
+68.1370000,QRS
+68.6110000,QRS
+69.0880000,QRS
+69.5680000,QRS
+70.0500000,QRS
+70.5300000,QRS
+71.0110000,QRS
+71.4890000,QRS
+71.9680000,QRS
+72.4460000,QRS
+72.9220000,QRS
+73.3980000,QRS
+73.8730000,QRS
+74.3490000,QRS
+74.8210000,QRS
+75.2960000,QRS
+75.7700000,QRS
+76.2450000,QRS
+76.7160000,QRS
+77.1810000,QRS
+77.6520000,QRS
+78.1200000,QRS
+78.5870000,QRS
+79.0550000,QRS
+79.5280000,QRS
+80.0010000,QRS
+80.4730000,QRS
+80.9460000,QRS
+81.4140000,QRS
+81.8800000,QRS
+82.3460000,QRS
+82.8150000,QRS
+83.2780000,QRS
+83.7410000,QRS
+84.2060000,QRS
+84.6730000,QRS
+85.1460000,QRS
+85.6220000,QRS
+86.1040000,QRS
+86.5830000,QRS
+87.0600000,QRS
+87.5330000,QRS
+88.0150000,QRS
+88.4950000,QRS
+88.9750000,QRS
+89.4550000,QRS
+89.9410000,QRS
+90.4230000,QRS
+90.9110000,QRS
+91.3930000,QRS
+91.8730000,QRS
+92.3530000,QRS
+92.8360000,QRS
+93.3180000,QRS
+93.7950000,QRS
+94.2700000,QRS
+94.7420000,QRS
+95.2160000,QRS
+95.6920000,QRS
+96.1710000,QRS
+96.6550000,QRS
+97.1350000,QRS
+97.6180000,QRS
+98.0980000,QRS
+98.5810000,QRS
+99.0590000,QRS
+99.5340000,QRS
+100.0140000,QRS
+100.4920000,QRS
+100.9730000,QRS
+101.4490000,QRS
+101.9290000,QRS
+102.4050000,QRS
+102.8800000,QRS
+103.3540000,QRS
+103.8300000,QRS
+104.3070000,QRS
+104.7820000,QRS
+105.2560000,QRS
+105.7290000,QRS
+106.2060000,QRS
+106.6800000,QRS
+107.1550000,QRS
+107.6310000,QRS
+108.1050000,QRS
+108.5770000,QRS
+109.0530000,QRS
+109.5320000,QRS
+110.0060000,QRS
+110.4800000,QRS
+110.9530000,QRS
+111.4250000,QRS
+111.8990000,QRS
+112.3700000,QRS
+112.8430000,QRS
+113.3140000,QRS
+113.7880000,QRS
+114.2610000,QRS
+114.7310000,QRS
+115.2020000,QRS
+115.6720000,QRS
+116.1440000,QRS
+116.6160000,QRS
+117.0870000,QRS
+117.5570000,QRS
+118.0270000,QRS
+118.4960000,QRS
+118.9650000,QRS
+119.4340000,QRS
+119.9040000,QRS
+120.3750000,QRS
+120.8440000,QRS
+121.3080000,QRS
+121.7830000,QRS
+122.2540000,QRS
+122.7230000,QRS
+123.1890000,QRS
+123.6590000,QRS
+124.1270000,QRS
+124.5940000,QRS
+125.0600000,QRS
+125.5250000,QRS
+125.9900000,QRS
+126.4560000,QRS
+126.9290000,QRS
+127.3960000,QRS
+127.8660000,QRS
+128.3310000,QRS
+128.7990000,QRS
+129.2650000,QRS
+129.7260000,QRS
+130.1880000,QRS
+130.6510000,QRS
+131.1200000,QRS
+131.5960000,QRS
+132.0680000,QRS
+132.5450000,QRS
+133.0160000,QRS
+133.4920000,QRS
+133.9650000,QRS
+134.4350000,QRS
+134.9030000,QRS
+135.3710000,QRS
+135.8410000,QRS
+136.3070000,QRS
+136.7750000,QRS
+137.2390000,QRS
+137.7070000,QRS
+138.1770000,QRS
+138.6430000,QRS
+139.1170000,QRS
+139.5840000,QRS
+140.0510000,QRS
+140.5160000,QRS
+140.9810000,QRS
+141.4450000,QRS
+141.9080000,QRS
+142.3740000,QRS
+142.8430000,QRS
+143.3110000,QRS
+143.7770000,QRS
+144.2430000,QRS
+144.7050000,QRS
+145.1720000,QRS
+145.6330000,QRS
+146.0970000,QRS
+146.5600000,QRS
+147.0250000,QRS
+147.4870000,QRS
+147.9560000,QRS
+148.4200000,QRS
+148.8810000,QRS
+149.3430000,QRS
+149.8010000,QRS
+150.2580000,QRS
+150.7100000,QRS
+151.1630000,QRS
+151.6170000,QRS
+152.0690000,QRS
+152.5200000,QRS
+152.9720000,QRS
+153.4220000,QRS
+153.8710000,QRS
+154.3220000,QRS
+154.7690000,QRS
+155.2170000,QRS
+155.6640000,QRS
+156.1090000,QRS
+156.5520000,QRS
+156.9940000,QRS
+157.4340000,QRS
+157.8730000,QRS
+158.3080000,QRS
+158.7420000,QRS
+159.5110000,QRS
+159.9530000,QRS
+160.3810000,QRS
+160.8060000,QRS
+161.2240000,QRS
+161.6370000,QRS
+162.0490000,QRS
+162.4570000,QRS
+162.8640000,QRS
+163.5870000,QRS
+164.0070000,QRS
+164.4110000,QRS
+164.8110000,QRS
+165.2110000,QRS
+165.6130000,QRS
+166.0170000,QRS
+166.4270000,QRS
+166.8420000,QRS
+167.2640000,QRS
+167.6980000,QRS
+168.1450000,QRS
+168.6040000,QRS
+169.0720000,QRS
+169.5510000,QRS
+170.0450000,QRS
+170.5450000,QRS
+171.0530000,QRS
+171.5610000,QRS
+172.0680000,QRS
+172.5770000,QRS
+173.0850000,QRS
+173.5780000,QRS
+174.0730000,QRS
+174.5700000,QRS
+175.0500000,QRS
+175.5370000,QRS
+176.0160000,QRS
+176.5000000,QRS
+176.9820000,QRS
+177.4640000,QRS
+177.9410000,QRS
+178.4120000,QRS
+178.8880000,QRS
+179.3580000,QRS
+179.8260000,QRS
+180.2890000,QRS
+180.7500000,QRS
+181.2060000,QRS
+181.6590000,QRS
+182.1080000,QRS
+182.5530000,QRS
+182.9940000,QRS
+183.4300000,QRS
+183.8640000,QRS
+184.2950000,QRS
+184.7270000,QRS
+185.1560000,QRS
+185.5830000,QRS
+186.0070000,QRS
+186.4310000,QRS
+186.8540000,QRS
+187.2750000,QRS
+187.6940000,QRS
+188.1110000,QRS
+188.5270000,QRS
+188.9420000,QRS
+189.3550000,QRS
+189.7660000,QRS
+190.1760000,QRS
+190.5860000,QRS
+190.9950000,QRS
+191.4040000,QRS
+191.8110000,QRS
+192.2200000,QRS
+192.6280000,QRS
+193.0410000,QRS
+193.4540000,QRS
+193.8640000,QRS
+194.2740000,QRS
+194.6870000,QRS
+195.1000000,QRS
+195.5180000,QRS
+195.9480000,QRS
+196.3830000,QRS
+196.8220000,QRS
+197.2630000,QRS
+197.7050000,QRS
+198.1570000,QRS
+198.6140000,QRS
+199.0710000,QRS
+199.5250000,QRS
+199.9740000,QRS
+200.4250000,QRS
+200.8740000,QRS
+201.3240000,QRS
+201.7800000,QRS
+202.2360000,QRS
+202.6860000,QRS
+203.1330000,QRS
+203.5840000,QRS
+204.0320000,QRS
+204.4810000,QRS
+204.9300000,QRS
+205.3740000,QRS
+205.8160000,QRS
+206.2580000,QRS
+206.6980000,QRS
+207.1350000,QRS
+207.5710000,QRS
+208.0010000,QRS
+208.4250000,QRS
+208.8430000,QRS
+209.2570000,QRS
+209.6690000,QRS
+210.0790000,QRS
+210.4890000,QRS
+210.8970000,QRS
+211.3090000,QRS
+211.7210000,QRS
+212.1370000,QRS
+212.5630000,QRS
+212.9930000,QRS
+213.4340000,QRS
+213.8870000,QRS
+214.3540000,QRS
+214.8360000,QRS
+215.3210000,QRS
+215.8030000,QRS
+216.2800000,QRS
+216.7610000,QRS
+217.2370000,QRS
+217.7160000,QRS
+218.1910000,QRS
+218.6650000,QRS
+219.1430000,QRS
+219.6190000,QRS
+220.0930000,QRS
+220.5660000,QRS
+221.0400000,QRS
+221.5130000,QRS
+221.9880000,QRS
+222.4630000,QRS
+222.9420000,QRS
+223.4220000,QRS
+223.9050000,QRS
+224.3930000,QRS
+224.8800000,QRS
+225.3660000,QRS
+225.8620000,QRS
+226.3430000,QRS
+226.8280000,QRS
+227.3040000,QRS
+227.7830000,QRS
+228.2580000,QRS
+228.7390000,QRS
+229.2160000,QRS
+229.6950000,QRS
+230.1670000,QRS
+230.6350000,QRS
